,Academic Year,Is Online Education Useful?,Learned About Genius From,Place of Residence,Country,ID,year,month,day,Qaida Nuraniya,English Language Course,German Language Course,Specialized Programming Diploma,Cultured Reader,Mathematics (Matific),Fundamentals of Programming,German Explorer,Online School,Little Explorer,Graphics Diploma,Digital Marketing Diploma
0,second primary (Elementary School),yes,Facebook,Khafji,suadia arab,4550,2022,8,13,True,False,False,False,False,False,False,False,False,False,False,False
1,first primary (Elementary School),yes,Facebook,na,na,4551,2022,8,13,False,True,True,False,False,False,True,False,False,True,False,False
2,second General Secondary Education,no,Facebook,Eastern,eygpt,4552,2022,8,13,False,True,False,True,False,False,False,False,False,False,False,False
3,first General Secondary Education,yes,Facebook,na,na,4553,2022,8,13,False,False,False,False,False,False,False,False,False,False,False,False
4,third primary (Elementary School),maybe,Facebook,Qalyubia,eygpt,4554,2022,8,13,True,False,False,False,True,False,True,False,False,True,False,False
5,third primary (Elementary School),maybe,social media,Dakahlia,eygpt,4555,2022,8,13,False,False,False,False,False,False,True,False,False,False,False,False
6,third primary (Elementary School),maybe,Facebook,Damietta,eygpt,4556,2022,8,14,True,True,False,True,False,False,True,False,True,False,True,False
7,second Year of Middle School,maybe,Facebook,Riyadh,Riyadh,4557,2022,8,14,False,False,False,True,False,False,True,False,False,False,True,False
8,fifth primary (Elementary School),yes,Facebook,na,na,4558,2022,8,14,True,True,False,True,True,False,True,False,False,True,True,True
9,second Year of Middle School,yes,Facebook,Kuwait,Kuwait,4559,2022,8,14,False,False,False,True,False,False,True,False,False,False,False,False
10,second Year of Middle School,maybe,Facebook,Geza,eygpt,4560,2022,8,14,False,True,False,True,False,False,False,False,False,False,False,False
11,Sixth primary (Elementary School),yes,social media,Mansoura,eygpt,4561,2022,8,14,False,False,False,False,False,False,False,False,False,True,False,False
12,First Year of High School,yes,friend,eygpt,eygpt,4562,2022,8,14,False,True,False,False,False,False,False,False,False,False,False,False
13,Fourth Year of High School,maybe,Facebook,Port Said,eygpt,4563,2022,8,14,False,True,False,True,False,False,True,False,True,False,True,True
14,Kindergarten,yes,Facebook,Dammam,suadia arab,4564,2022,8,14,True,False,False,False,False,False,False,False,False,False,False,False
15,Graduate,yes,Facebook,Minya,eygpt,4565,2022,8,14,False,False,False,True,False,False,False,False,False,False,False,False
16,Sixth primary (Elementary School),yes,Facebook,eygpt,eygpt,4566,2022,8,14,False,False,False,False,True,False,False,False,False,False,False,True
17,first primary (Elementary School),maybe,Facebook,Geza,eygpt,4567,2022,8,14,False,False,False,False,False,False,True,False,False,False,False,False
18,First Year of High School,yes,friend,Beni Suef,eygpt,4568,2022,8,14,False,True,False,False,False,False,True,False,False,False,True,False
19,Kindergarten,maybe,Facebook,Qalyubia,eygpt,4569,2022,8,14,True,False,False,False,False,False,False,False,False,True,False,False
20,first General Secondary Education,yes,N/A,Geza,eygpt,4570,2022,8,15,False,False,False,True,False,False,False,False,False,False,False,False
21,Third General Secondary Education,yes,friend,Marsa Matruh,eygpt,4571,2022,8,15,False,True,False,True,False,False,False,False,False,True,True,False
22,Graduate,maybe,friend,Tanta,eygpt,4572,2022,8,15,False,False,False,True,False,False,False,False,False,False,False,False
23,Graduate,maybe,Facebook,Beni Suef,eygpt,4573,2022,8,15,False,False,True,True,False,False,True,False,False,True,True,False
24,Kindergarten,no,Facebook,cairo,eygpt,4574,2022,8,15,True,False,False,False,False,False,False,False,False,True,False,False
25,Third Year of Middle School,yes,Facebook,Tanta,eygpt,4575,2022,8,15,False,False,False,False,False,False,True,False,False,False,True,False
26,first Year of Middle School,yes,Facebook,Gharbia,eygpt,4576,2022,8,15,False,False,False,False,False,False,False,False,False,False,True,False
27,second primary (Elementary School),yes,Facebook,Eastern,eygpt,4577,2022,8,15,False,True,False,True,False,False,True,False,True,True,False,True
28,second Year of Middle School,maybe,Facebook,Gharbia,eygpt,4578,2022,8,15,False,False,False,True,False,False,False,False,False,False,False,False
29,Fourth primary (Elementary School),yes,Facebook,Qena,eygpt,4579,2022,8,15,False,True,False,True,False,False,True,False,False,True,False,True
30,first General Secondary Education,yes,Facebook,mecca,sudia arab,4580,2022,8,16,False,False,False,True,False,False,True,False,False,False,True,True
31,Third Year of Middle School,yes,Facebook,new cairo,eygpt,4581,2022,8,16,False,False,False,True,False,False,True,False,False,False,False,False
32,second primary (Elementary School),yes,Facebook,cairo,eygpt,4582,2022,8,16,False,False,False,True,False,False,False,False,False,False,False,False
33,third primary (Elementary School),yes,Facebook,Eastern,eygpt,4583,2022,8,16,True,False,False,False,False,False,False,False,False,False,False,False
34,Fourth primary (Elementary School),yes,Facebook,Menofia,eygpt,4584,2022,8,16,True,True,False,True,True,False,True,False,True,True,True,False
35,first Year of Middle School,yes,Facebook,Qalyubia,eygpt,4585,2022,8,16,False,False,False,False,False,False,True,False,False,False,True,True
36,third primary (Elementary School),yes,Facebook,cairo,eygpt,4586,2022,8,17,False,False,False,False,False,False,True,False,True,False,False,False
37,n/a,yes,N/A,Ismailia,eygpt,4587,2022,8,17,False,False,True,False,False,False,False,False,False,True,False,False
38,Kindergarten,yes,Facebook,Faiyum,eygpt,4588,2022,8,17,True,False,False,False,False,False,False,False,False,False,False,False
39,first primary (Elementary School),yes,social media,cairo,eygpt,4589,2022,8,17,False,False,False,False,False,False,True,False,False,False,False,False
40,first General Secondary Education,maybe,Facebook,cairo,eygpt,4590,2022,8,17,False,False,False,True,False,False,False,False,False,False,False,False
41,second Year of Middle School,maybe,Facebook,Ismailia,eygpt,4591,2022,8,17,False,False,True,True,False,False,True,False,False,False,True,True
42,first primary (Elementary School),yes,Facebook,cairo,eygpt,4592,2022,8,17,True,True,True,True,True,False,True,False,True,True,True,True
43,second General Secondary Education,yes,social media,cairo,eygpt,4593,2022,8,17,False,False,False,True,False,False,False,False,False,False,False,False
44,Sixth primary (Elementary School),yes,Facebook,Aswan,eygpt,4594,2022,8,17,True,True,True,True,True,False,True,False,True,True,True,True
45,Sixth primary (Elementary School),yes,Facebook,Qena,eygpt,4595,2022,8,17,False,False,False,True,False,False,True,False,False,False,False,False
46,fifth primary (Elementary School),yes,social media,Kafr al-Sheikh,eygpt,4596,2022,8,17,False,False,False,True,False,False,True,False,False,False,False,False
47,second primary (Elementary School),yes,social media,Kafr al-Sheikh,eygpt,4597,2022,8,17,False,False,False,True,False,False,False,False,False,False,True,False
48,Kindergarten,yes,Facebook,Qalyubia,eygpt,4598,2022,8,17,True,False,False,False,False,False,False,False,False,False,False,False
49,Kindergarten,yes,Facebook,cairo,eygpt,4599,2022,8,18,False,True,False,True,False,False,True,False,False,True,False,False
50,first Year of Middle School,yes,Facebook,Alexandria,eygpt,4600,2022,8,18,True,True,False,False,True,False,True,False,True,True,True,False
51,first General Secondary Education,yes,Facebook,6th of October City,eygpt,4601,2022,8,18,False,False,False,True,False,False,True,False,False,False,False,False
52,second primary (Elementary School),maybe,Facebook,Geza,eygpt,4602,2022,8,18,False,False,False,True,False,False,False,False,False,False,True,False
53,Sixth primary (Elementary School),maybe,Facebook,Geza,eygpt,4603,2022,8,18,False,False,False,True,False,False,False,False,False,False,True,False
54,third primary (Elementary School),yes,Facebook,na,na,4604,2022,8,18,False,False,False,True,True,False,True,False,False,True,True,True
55,first Year of Middle School,yes,Facebook,Alexandria,eygpt,4605,2022,8,18,False,False,False,False,False,False,False,False,False,False,True,False
56,second primary (Elementary School),yes,friend,cairo,eygpt,4606,2022,8,18,True,False,True,False,False,False,False,False,False,False,False,False
57,Sixth primary (Elementary School),maybe,Facebook,cairo,eygpt,4607,2022,8,18,False,False,False,True,False,False,False,False,False,False,False,False
58,Graduate,maybe,Facebook,Qalyubia,eygpt,4608,2022,8,18,False,False,False,True,False,False,False,False,True,False,False,True
59,fifth primary (Elementary School),yes,Facebook,Gharbia,eygpt,4609,2022,8,18,False,True,False,True,False,False,False,False,False,False,False,False
60,first General Secondary Education,maybe,N/A,Eastern,eygpt,4610,2022,8,19,False,False,False,True,False,False,False,False,False,False,False,False
61,Fourth primary (Elementary School),yes,Facebook,Alexandria,eygpt,4611,2022,8,19,False,False,False,True,False,False,False,False,False,True,False,False
62,Sixth primary (Elementary School),maybe,Facebook,Qalyubia,eygpt,4612,2022,8,19,False,False,False,True,False,False,False,False,False,False,False,False
63,second Year of Middle School,yes,Facebook,Alexandria,eygpt,4613,2022,8,19,False,False,False,True,False,False,False,False,False,False,False,False
64,second Year of Middle School,yes,Facebook,Tanta,eygpt,4614,2022,8,19,False,False,False,False,False,False,True,False,False,False,True,False
65,Sixth primary (Elementary School),yes,Facebook,cairo,eygpt,4615,2022,8,19,False,False,False,True,False,False,True,False,False,False,False,True
66,fifth primary (Elementary School),yes,Facebook,Menofia,eygpt,4616,2022,8,19,False,False,False,True,False,False,True,False,False,False,True,True
67,first Year of Middle School,maybe,Facebook,cairo,eygpt,4617,2022,8,19,False,False,False,False,False,False,False,False,False,False,True,False
68,first General Secondary Education,yes,Facebook,cairo,eygpt,4618,2022,8,19,False,False,False,False,False,False,False,False,False,False,False,False
69,second Year of Middle School,maybe,Facebook,cairo,eygpt,4619,2022,8,19,False,False,False,True,False,False,True,False,False,False,False,False
70,fifth primary (Elementary School),yes,social media,Alexandria,eygpt,4620,2022,8,19,False,False,False,True,False,False,True,False,False,False,False,False
71,Graduate,yes,Facebook,Damietta,eygpt,4621,2022,8,19,False,True,False,False,False,False,True,False,False,False,False,False
72,first General Secondary Education,yes,youtube,cairo,eygpt,4622,2022,8,19,False,False,False,False,True,False,True,False,True,True,False,False
73,second primary (Elementary School),yes,friend,Alexandria,eygpt,4623,2022,8,19,False,True,False,True,False,False,True,False,False,False,False,True
74,first General Secondary Education,yes,friend,Luxor ,eygpt,4624,2022,8,19,True,True,False,True,True,False,True,False,True,True,True,True
75,first Year of Middle School,maybe,Facebook,Geza,eygpt,4625,2022,8,20,False,False,False,False,False,False,True,False,False,False,False,False
76,first Year of Middle School,maybe,Facebook,Beheira,eygpt,4626,2022,8,20,False,True,False,True,False,False,False,False,False,False,False,False
77,first primary (Elementary School),maybe,Facebook,Alexandria,eygpt,4627,2022,8,20,False,False,False,False,False,False,False,False,False,False,True,False
78,first primary (Elementary School),yes,Facebook,Asyut ,eygpt,4628,2022,8,20,False,False,False,False,False,False,False,False,True,True,False,False
79,Fourth primary (Elementary School),yes,Facebook,Sohag,eygpt,4629,2022,8,20,True,False,False,False,False,False,False,False,False,True,False,False
80,fifth primary (Elementary School),yes,N/A,na,na,4630,2022,8,20,False,False,False,True,False,False,False,False,False,False,False,False
81,first General Secondary Education,yes,Facebook,Geza,eygpt,4631,2022,8,20,False,True,True,True,False,False,False,False,False,False,True,True
82,Fourth primary (Elementary School),yes,Facebook,na,na,4632,2022,8,20,True,True,True,True,True,False,True,False,True,True,True,True
83,first General Secondary Education,yes,Facebook,sohag,eygpt,4633,2022,8,20,False,False,False,True,False,False,False,False,False,False,False,False
84,first primary (Elementary School),maybe,social media,Beni Suef,eygpt,4634,2022,8,20,True,False,False,True,True,False,True,False,False,True,False,True
85,first General Secondary Education,yes,N/A,Damietta,eygpt,4635,2022,8,20,False,True,False,False,False,False,True,False,False,True,False,False
86,Kindergarten,yes,Facebook,Alexandria,eygpt,4636,2022,8,20,True,False,False,True,True,False,True,False,False,True,False,True
87,second primary (Elementary School),yes,N/A,cairo,eygpt,4637,2022,8,21,True,False,False,False,False,False,False,False,False,False,False,False
88,Third Year of Middle School,yes,Facebook,Port Said,eygpt,4638,2022,8,21,False,False,False,False,False,False,True,False,False,False,False,False
89,second primary (Elementary School),yes,Facebook,cairo,eygpt,4639,2022,8,21,True,False,False,False,False,False,False,False,False,False,False,False
90,Sixth primary (Elementary School),yes,Facebook,Damietta,eygpt,4640,2022,8,21,False,False,False,False,False,False,True,False,False,False,False,False
91,Sixth primary (Elementary School),yes,Facebook,mecca,sudia arab,4641,2022,8,21,False,False,False,True,False,False,True,False,False,False,False,False
92,first Year of Middle School,yes,Facebook,Taif,suadia arab,4642,2022,8,21,False,True,True,False,True,False,True,False,False,False,False,False
93,Kindergarten,yes,Facebook,seuz,eygpt,4643,2022,8,21,False,False,False,False,False,False,False,False,False,False,False,False
94,Graduate,maybe,Facebook,na,na,4644,2022,8,21,False,False,False,False,True,False,True,False,False,False,True,True
95,first primary (Elementary School),maybe,Facebook,na,na,4645,2022,8,21,False,False,False,False,False,False,False,False,False,False,False,False
96,Third Year of Middle School,maybe,friend,Tanta,eygpt,4646,2022,8,21,False,False,False,False,True,False,True,False,False,False,True,False
97,first Year of Middle School,maybe,Facebook,Faiyum,eygpt,4647,2022,8,21,False,True,False,True,False,False,False,False,False,False,True,False
98,first General Secondary Education,maybe,N/A,na,na,4648,2022,8,22,False,False,False,False,False,False,False,False,False,False,False,False
99,second primary (Elementary School),yes,Facebook,cairo,eygpt,4649,2022,8,22,False,False,False,True,False,False,False,False,False,False,False,False
100,Sixth primary (Elementary School),maybe,Facebook,Alexandria,eygpt,4650,2022,8,22,False,False,False,True,False,False,True,False,False,False,False,False
101,Fourth primary (Elementary School),maybe,Facebook,Alexandria,eygpt,4651,2022,8,22,False,False,False,True,False,False,True,False,False,False,False,False
102,first primary (Elementary School),yes,friend,suadia arab,suadia arab,4652,2022,8,22,True,False,False,False,False,False,False,False,False,False,False,False
103,first primary (Elementary School),maybe,Facebook,Port Said,eygpt,4653,2022,8,22,False,False,False,True,False,False,True,False,False,True,True,False
104,second primary (Elementary School),yes,Facebook,Eastern,eygpt,4654,2022,8,22,False,True,False,False,False,False,True,False,True,False,False,False
105,second primary (Elementary School),maybe,Facebook,Hawalli,Kuwait,4655,2022,8,22,True,False,False,False,False,False,False,False,False,True,False,False
106,first General Secondary Education,maybe,N/A,Alexandria,eygpt,4656,2022,8,22,False,True,False,True,False,False,False,False,False,False,False,False
107,first primary (Elementary School),yes,Facebook,6th of October City,eygpt,4657,2022,8,22,False,False,False,True,False,False,False,False,False,False,False,False
108,second primary (Elementary School),maybe,Facebook,cairo,eygpt,4658,2022,8,22,False,False,False,False,False,False,True,False,False,False,False,False
109,fifth primary (Elementary School),maybe,Facebook,cairo,eygpt,4659,2022,8,22,False,False,False,False,False,False,True,False,False,False,False,False
110,first primary (Elementary School),yes,Facebook,Jordan,Jordan,4660,2022,8,22,True,False,False,False,False,False,False,False,False,True,False,False
111,Kindergarten,yes,Facebook,cairo,eygpt,4661,2022,8,22,True,False,False,False,False,False,False,False,False,False,False,False
112,fifth primary (Elementary School),yes,Facebook,suadia arab,suadia arab,4662,2022,8,22,False,False,False,True,False,False,False,False,False,False,True,False
113,second primary (Elementary School),yes,Facebook,cairo,eygpt,4663,2022,8,22,False,True,True,True,False,False,False,False,False,False,False,False
114,fifth primary (Elementary School),yes,Facebook,suadia arab,suadia arab,4664,2022,8,22,False,False,False,True,False,False,True,False,False,False,True,True
115,Sixth primary (Elementary School),yes,N/A,Qalyubia,eygpt,4665,2022,8,23,False,False,False,True,False,False,True,False,False,False,False,False
